manufacturer_id,manufacturer_email,manufacturer_name
1,aliexpress@online.com,Aliexpress
2,lerua1@gmail.com,Lerua
3,prostoclass@online.com,Просто класс!
4,ok@yopmail.com,Одноклассники
5,cheapdip@gmail.com,ЧипДип
6,asus@online.com,ASUS
7,barrista@online.com,Все для Баристы
8,huawei@online.com,Huawei
9,mtc@yopmail.com,МТС
10,booklive@online.com,BookLive
11,litres@online.com,Литрес
12,star@online.ru,Звезда
13,catshouse@online.com,Кошкин дом
14,benneton@foru.com,Беннетон
15,oil@online.com,АвтоМоторс
