product_id,product_name,category,value_num,count_num,product_storage,defect,manufacturer
1,Блузка,Одежда,4500,42,4,0,14
2,Комплект проводов,Электроника,680,46,5,0,5
3,Ноутбук,Электроника,78900,44,1,0,6
4,Сочный горшок,Садоводство,400,30,2,0,2
5,Зарядное устройство для модели V6,Электроника,800,95,3,1,1
6,Машинное масло,Автомобиль,1200,60,4,0,15
7,Кошачья еда,Животные,250,76,5,0,13
8,Карта,Канцелярия,100,36,3,0,1
9,Книга экзаменатора,Книги,789,23,4,0,10
10,Молоко,Еда,70,10,5,0,3
11,Шоколад,Еда,56,86,1,0,3
12,Тариф я все могу,Электронный товар,500,81,3,1,9
13,Испанский чудо-кофе,Еда,880,37,4,0,7
14,Учебник по разработке баз данных,Книги,1670,59,4,0,11
15,Суккулент обыкновенный,Садоводство,300,22,1,0,2
